,species_id,,code
,0,,denvid
,1,,ansind
,2,,anscae
,3,,ansros
,5,,anscro
,6,,ansans
,10,,anscyg
,11,,ansalb
,15,,ansery
,16,,ansaer
,17,,ansfab
,18,,ansser
,19,,ansfse
,20,,ansbra
,21,,anssp.
,22,,braber
,28,,braleu
,34,,bracan
,42,,brahca
,43,,braruf
,44,,brasp.
,45,,anssp.
,46,,cygolo
,47,,cygcol
,50,,cygcyg
,51,,cygccy
,52,,cygsp.
,53,,aloaeg
,54,,tadfer
,55,,tadtad
,58,,aixspo
,59,,aixgal
,60,,sibfor
,61,,spaque
,62,,spadis
,63,,spacly
,65,,marstr
,67,,marfal
,68,,marpen
,70,,marame
,72,,marpam
,73,,anapoe
,74,,anapzo
,75,,anapla
,82,,anapdi
,83,,anarub
,85,,anapru
,86,,anaacu
,91,,anacre
,95,,spaqan
,98,,anaafl
,99,,anasp.
,102,,marang
,103,,netruf
,105,,aytval
,106,,aytame
,107,,aytfer
,108,,aytcol
,109,,aytnyr
,111,,aytful
,115,,aytmar
,117,,aytaff
,119,,aytsp.
,120,,polste
,121,,somfis
,122,,somspe
,123,,sommol
,128,,somsmo
,130,,somsp.
,131,,hishis
,132,,melper
,133,,melfus
,134,,meldeg
,135,,melste
,136,,melfds
,137,,meldst
,138,,melnig
,139,,melame
,140,,melnam
,141,,melsp.
,142,,clahye
,143,,bucalb
,144,,buccla
,145,,bucisl
,146,,meralb
,147,,lopcuc
,148,,mermer
,150,,merser
,151,,mermse
,152,,mersp.
,153,,oxyjam
,154,,oxyleu
,156,,anasp.
,157,,anasp.
,158,,nummel
,161,,cotcot
,162,,alegra
,165,,alechu
,166,,aleruf
,168,,alegru
,169,,alebar
,170,,tetcas
,171,,frafra
,173,,syrree
,174,,chrpic
,175,,phacol
,177,,phasp.
,178,,perper
,179,,teturo
,180,,tettei
,182,,tetbon
,183,,laglag
,186,,lagmut
,187,,lagsp.
,188,,tetsp.
,189,,phorub
,190,,phoros
,191,,phorro
,192,,phomin
,193,,tacruf
,195,,podpod
,196,,podaur
,197,,podgri
,198,,podcri
,199,,podnig
,200,,podani
,201,,podsp.
,202,,podsp.
,203,,colliv
,206,,coloen
,207,,colpal
,209,,coltro
,210,,colbol
,211,,coljun
,212,,colsp.
,213,,ectmig
,214,,strtur
,215,,strori
,216,,strdec
,218,,strros
,219,,strdro
,220,,strsen
,221,,strsp.
,222,,zenaur
,223,,zenmac
,224,,colsp.
,225,,syrpar
,226,,ptealc
,229,,pteori
,230,,ptequa
,231,,ptesp.
,232,,otitar
,233,,chlund
,235,,chlmac
,236,,tettea
,237,,clagla
,238,,cocame
,239,,cocery
,240,,hiehyp
,241,,cucsat
,242,,cuccan
,243,,cucgca
,244,,cucopt
,245,,cucsop
,246,,cucsp.
,247,,cucsp.
,248,,chomin
,249,,capruf
,250,,capeur
,251,,capreu
,252,,capaeg
,253,,capsp.
,254,,capsp.
,255,,chapel
,256,,hircau
,257,,apumel
,258,,apuapu
,259,,apuuni
,260,,apupal
,261,,apuapa
,262,,apupac
,263,,apupsl
,264,,apuaff
,266,,apuani
,267,,apucaf
,268,,apusp.
,270,,aposp.
,271,,phasp.
,273,,ralaqu
,274,,ralain
,275,,crecre
,276,,creegr
,277,,porcar
,278,,porpoa
,279,,parang
,280,,galchl
,281,,galcga
,282,,fulatr
,283,,fulcri
,284,,fulacr
,286,,fulame
,288,,fulsp.
,289,,porall
,290,,pormar
,291,,porpoh
,292,,pormad
,293,,porpol
,295,,galsp.
,296,,galcin
,297,,amamar
,298,,zappar
,299,,zappus
,302,,zapppu
,303,,porpza
,304,,zapsp.
,305,,porsp.
,307,,antvir
,308,,leuleu
,309,,antcan
,311,,grugru
,312,,grumon
,313,,grusp.
,314,,chialb
,315,,buroed
,316,,himhim
,317,,recavo
,318,,recsp.
,319,,haeost
,321,,haepal
,322,,haemea
,323,,haepba
,324,,plusqu
,325,,pluapr
,326,,pludom
,327,,pluful
,328,,pludfu
,329,,plusp.
,330,,vanvan
,331,,vanarm
,332,,vanspi
,333,,vancin
,334,,vanind
,335,,vangre
,336,,vanleu
,337,,vansp.
,338,,chamon
,341,,chales
,342,,chamle
,343,,chaasi
,344,,chapec
,345,,chaale
,347,,chaniv
,349,,chaani
,350,,chahia
,351,,chasem
,352,,chahse
,353,,chadub
,356,,chavoc
,357,,chaver
,358,,chamor
,359,,chasp.
,360,,chasp.
,361,,rosben
,362,,barlon
,363,,numpha
,368,,nummin
,369,,numbor
,370,,numten
,371,,numarq
,372,,numpar
,373,,numsp.
,374,,limlap
,377,,limlim
,381,,limhae
,382,,limsp.
,383,,areint
,384,,calten
,385,,calcan
,386,,calpug
,387,,calfai
,388,,calacu
,389,,calhim
,390,,calfer
,391,,caltem
,392,,calsui
,393,,calpyg
,394,,calruf
,395,,calalb
,396,,calalp
,401,,calfau
,402,,calmar
,403,,calpma
,404,,calbai
,405,,calmia
,406,,calmii
,407,,calfus
,408,,calsuu
,409,,calmel
,410,,calpus
,411,,calmau
,413,,calsp.
,414,,limgri
,416,,limsco
,417,,limgsc
,418,,lymmin
,419,,scorus
,420,,scomin
,421,,galmed
,422,,galgal
,423,,galdel
,424,,galgde
,425,,galste
,426,,galmeg
,427,,galsp.
,428,,xencin
,429,,phatri
,430,,phalob
,431,,phaful
,432,,phalfu
,433,,phasp.
,434,,acthyp
,435,,actmac
,436,,acthma
,437,,trioch
,438,,trisol
,440,,tribre
,441,,tribin
,442,,triery
,443,,trimel
,444,,trineb
,445,,trisem
,448,,trifla
,449,,trimfl
,450,,trista
,451,,trigla
,452,,tritot
,453,,trisp.
,454,,scosp.
,456,,tursyl
,457,,curcur
,458,,glapra
,459,,glamal
,460,,glanor
,461,,glapno
,462,,glasp.
,463,,chasp.
,464,,stesku
,465,,stemac
,467,,stepom
,468,,stepas
,469,,steppa
,470,,stelon
,471,,steplr
,472,,stepls
,474,,stesp.
,475,,allall
,476,,uriaal
,477,,urilom
,478,,urialo
,479,,alctor
,480,,urisp.
,481,,pinimp
,482,,cepgry
,485,,cepcol
,486,,cepgco
,487,,braper
,488,,aetpsi
,489,,fraarc
,490,,fracir
,491,,alcsp.
,492,,ristri
,494,,pagebu
,495,,xemsab
,496,,chrgen
,497,,chrphi
,498,,chrcir
,499,,chrrid
,500,,chrgri
,501,,hydmin
,502,,rhoros
,503,,leuatr
,504,,leupip
,505,,leuapi
,506,,ichmel
,508,,chrric
,509,,ichrel
,510,,ichleu
,511,,ichich
,512,,ichaud
,513,,larcan
,518,,lardel
,519,,lararg
,523,,larmic
,526,,larami
,527,,larcac
,529,,larmcc
,530,,lararm
,531,,larmc/
,532,,larglo
,537,,laragl
,538,,larfus
,546,,larafu
,547,,larmfu
,548,,larsch
,549,,largle
,551,,larhyp
,554,,larmar
,556,,lardom
,558,,larsp.
,559,,larsp.
,560,,onyfus
,561,,onyana
,562,,onyfan
,563,,stealb
,564,,steaan
,565,,gelnil
,567,,hydcas
,568,,chlnig
,571,,chlleu
,572,,chlhyb
,573,,chlsp.
,574,,stedou
,575,,stehir
,578,,stepad
,579,,stehpa
,580,,stefor
,581,,sterep
,582,,stesp.
,583,,thamax
,586,,thasan
,589,,thaele
,591,,thamem
,592,,thaben
,593,,thasp.
,594,,hydsp.
,595,,stesp.
,596,,larsp.
,597,,phalep
,599,,phaaet
,600,,gavste
,601,,gavarc
,602,,gavpac
,603,,gavapa
,604,,gavimm
,605,,gavada
,606,,gaviad
,607,,gavsp.
,608,,thachl
,610,,thamen
,612,,thasp.
,613,,dioexu
,616,,oceoce
,618,,ocesp.
,619,,pelmar
,620,,fretro
,621,,hydpel
,624,,oceleu
,626,,ocelsc
,627,,ocemor
,628,,ocecas
,631,,ocemoe
,633,,ocesp.
,636,,ocesp.
,637,,macgig
,638,,macgha
,639,,fulgla
,641,,dapcap
,643,,pteneg
,644,,ptearm
,645,,pteahe
,646,,ptemad
,647,,ptefea
,650,,ptemfe
,651,,ptecah
,652,,ptehas
,654,,pteinc
,655,,ptesp.
,656,,bulbul
,657,,prosp.
,658,,caldio
,661,,caledw
,662,,calded
,663,,ardgrs
,664,,caldar
,665,,ardgre
,666,,ardten
,667,,pufpuf
,668,,pufyel
,669,,pufmau
,670,,pufyma
,671,,pufbar
,672,,pufboy
,673,,pufbbo
,674,,puflhe
,676,,pufbba
,679,,prosp.
,680,,cicnig
,681,,ciccic
,682,,cicsp.
,683,,lepcru
,684,,cicsp.
,685,,fremag
,686,,fresp.
,687,,suldac
,688,,suldgr
,689,,sulleu
,691,,sulsul
,693,,morbas
,694,,morcap
,695,,sulsp.
,696,,micpyg
,697,,phaper
,698,,phacar
,704,,phaari
,707,,phaca/
,708,,phaaur
,709,,phasp.
,710,,pelono
,711,,pelcri
,713,,pelsp.
,714,,botlen
,715,,botste
,716,,ixomin
,718,,ixoeur
,719,,ixostu
,720,,ixoexi
,721,,ardher
,723,,ardcin
,725,,ardmel
,726,,ardpur
,728,,ardcpu
,729,,ardalb
,733,,ardint
,735,,ardsp.
,736,,egrgar
,739,,egrgul
,743,,egrggu
,744,,egrthu
,745,,egrcae
,746,,egrtri
,747,,egrard
,748,,bubibi
,751,,ardsp.
,752,,ardral
,753,,ardgri
,754,,ardbac
,755,,butvir
,757,,butstr
,759,,butvst
,760,,nycnyc
,763,,nycvio
,765,,nycnny
,766,,ardsp.
,767,,plefal
,768,,plefch
,769,,thraet
,770,,thrabe
,771,,gerere
,772,,plaleu
,773,,plaalb
,774,,plasp.
,775,,panhal
,778,,elacae
,781,,gypbar
,783,,neoper
,784,,perapi
,785,,perpti
,787,,perapt
,788,,elafor
,789,,aegmon
,790,,tortra
,791,,gypafr
,792,,gypben
,793,,gyprue
,794,,gypful
,795,,gypsp.
,797,,tereca
,798,,cirgal
,799,,cirsp.
,800,,clapom
,801,,clacla
,803,,clapcl
,804,,hiepen
,805,,aqunip
,806,,aqurni
,807,,aquada
,808,,aquhel
,809,,aquchr
,810,,aqufas
